,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Maruti Alto LXI,Jaipur,2010,"29,869",Petrol,1st,"1,79,499"
1,Maruti Celerio ZXI,Jaipur,2020,"10,268",Petrol,1st,"4,97,799"
2,Maruti Alto 800 LXI,Jaipur,2018,"21,224",Petrol,1st,"3,27,899"
3,Maruti Alto 800 LXI,Jaipur,2015,"41,752",Petrol,1st,"2,45,199"
4,Maruti Alto K10 VXI (O) AMT,Jaipur,2019,"1,602",Petrol,1st,"4,16,099"
5,Maruti Alto LXI,Jaipur,2019,"11,627",Petrol,1st,"3,50,099"
6,Maruti Alto 800 VXI,Jaipur,2016,"18,142",Petrol,1st,"2,75,699"
7,Hyundai NEW SANTRO ERA 1.1,Jaipur,2020,"3,708",Petrol,1st,"4,78,299"
8,Hyundai NEW SANTRO 1.1 MAGNA MT,Jaipur,2020,"15,683",Petrol,1st,"4,88,999"
9,Maruti Wagon R 1.0 VXI,Jaipur,2015,"45,263",Petrol,2nd,"3,34,299"
10,Maruti Eeco 5 STR WITH AC PLUSHTR,Jaipur,2019,"4,543",Petrol,1st,"4,45,999"
11,Maruti Eeco 5 STR WITH AC PLUSHTR,Jaipur,2020,"13,664",Petrol,1st,"4,84,799"
12,Maruti Alto VXI,Jaipur,2020,"7,767",Petrol,1st,"3,54,399"
13,Maruti Wagon R 1.0 VXI,Jaipur,2017,"21,146",Petrol,1st,"3,84,199"
14,Maruti Alto 800 LXI,Jaipur,2018,"20,032",Petrol,1st,"2,78,399"
15,Maruti Alto 800 LXI,Jaipur,2019,"11,269",Petrol,1st,"3,49,399"
16,Maruti Alto 800 LXI,Jaipur,2018,"12,847",Petrol,1st,"3,27,299"
17,Maruti New  Wagon-R VXI 1.0,Jaipur,2020,"2,587",Petrol,1st,"5,33,599"
18,Maruti Alto LXI,Jaipur,2019,"4,484",Petrol,1st,"3,65,299"
19,Maruti Alto K10 VXI (O) AMT,Jaipur,2018,"21,129",Petrol,1st,"3,65,899"
20,Maruti Wagon R 1.0 VXI,Jaipur,2018,"31,829",Petrol,1st,"4,53,899"
21,Maruti Swift Dzire ZXI 1.2 BS IV,Jaipur,2016,"27,681",Petrol,2nd,"5,69,299"
22,Maruti Alto 800 LXI,Jaipur,2019,"8,393",Petrol,1st,"3,15,399"
23,Maruti Alto 800 LXI,Jaipur,2019,"11,102",Petrol,1st,"3,46,899"
24,Maruti Wagon R 1.0 LXI,Jaipur,2015,"50,157",Petrol,1st,"3,41,799"
25,Maruti Dzire VXI AMT,Jaipur,2018,"17,823",Petrol,1st,"5,82,199"
26,Maruti Wagon R 1.0 VXI PLUS,Jaipur,2018,"24,462",Petrol,1st,"5,50,799"
27,Hyundai i10 SPORTZ 1.1 IRDE2,Jaipur,2014,"62,148",Petrol,2nd,"3,26,099"
28,Hyundai Verna 1.6 CRDI SX,Jaipur,2020,"43,109",Diesel,1st,"11,14,399"
29,Hyundai Eon ERA PLUS,Jaipur,2017,"75,869",Petrol,1st,"2,85,999"
30,Maruti Alto 800 LXI,Jaipur,2018,"45,702",Petrol,1st,"3,16,799"
31,Maruti Alto 800 LXI,Jaipur,2017,"69,006",Petrol,1st,"2,85,899"
32,Maruti Swift VDI ABS,Jaipur,2017,"39,686",Diesel,1st,"5,96,799"
33,Maruti Celerio ZXI,Jaipur,2019,"43,263",Petrol,1st,"4,63,599"
34,Maruti Celerio VXI,Jaipur,2016,"59,240",Petrol,1st,"3,32,499"
35,Maruti Alto K10 VXI,Jaipur,2017,"60,514",Petrol,1st,"3,12,899"
36,Maruti Alto 800 LXI,Jaipur,2018,"59,133",Petrol,1st,"3,06,399"
37,Maruti Alto 800 LXI,Jaipur,2018,"45,530",Petrol,1st,"3,41,799"
38,Maruti Baleno DELTA 1.2 K12,Jaipur,2017,"84,914",Petrol,1st,"5,63,799"
39,Maruti Alto 800 LXI,Jaipur,2017,"47,735",Petrol,1st,"3,04,199"
40,Maruti Wagon R 1.0 VXI,Jaipur,2018,"53,274",Petrol,2nd,"4,26,299"
41,Maruti Wagon R 1.0 VXI,Jaipur,2017,"60,358",Petrol,2nd,"3,62,999"
42,Maruti Ertiga VXI AT,Jaipur,2017,"28,937",Petrol,1st,"7,05,999"
43,Hyundai Grand i10 SPORTZ 1.1 CRDI,Jaipur,2016,"66,346",Diesel,1st,"4,19,899"
44,Maruti Alto K10 VXI,Jaipur,2019,"31,324",Petrol,1st,"3,61,499"
45,Toyota Etios Liva VX,Jaipur,2018,"29,304",Petrol,1st,"6,33,199"
46,Hyundai Eon ERA PLUS,Jaipur,2016,"59,868",Petrol,2nd,"2,90,199"
47,Maruti Swift VXI,Jaipur,2018,"44,279",Petrol,1st,"5,20,699"
48,Maruti Celerio ZXI,Jaipur,2019,"57,972",Petrol,1st,"4,49,699"
49,Mahindra XUV 3OO 1.2 W8 OPT,Jaipur,2019,"50,491",Petrol,1st,"9,93,099"
50,Maruti Swift ZXI+ BS IV,Jaipur,2018,"40,734",Petrol,1st,"6,63,299"
51,Hyundai Elite i20 ASTA 1.4 CRDI,Jaipur,2015,"90,990",Diesel,1st,"5,23,399"
52,Ford Ecosport 1.5TITANIUM TDCI,Jaipur,2018,"92,002",Diesel,1st,"7,86,299"
53,Mahindra XUV500 W6 4X2,Jaipur,2014,"1,41,576",Diesel,2nd,"6,36,199"
54,Hyundai Creta 1.6 SX CRDI,Jaipur,2016,"1,44,917",Diesel,1st,"8,20,699"
55,Maruti Alto 800 LXI,Jaipur,2016,"22,217",Petrol,1st,"2,74,599"
56,Maruti Alto K10 VXI,Jaipur,2018,"92,060",Petrol,1st,"3,13,299"
57,Hyundai GRAND I10 NIOS SPORTZ PETROL,Jaipur,2020,"5,616",Petrol,1st,"6,44,299"
58,Maruti Alto LX,Jaipur,2008,"49,523",Petrol,1st,"1,32,899"
59,Maruti Alto 800 LXI,Jaipur,2019,"3,468",Petrol,1st,"3,26,499"
60,Maruti Celerio X Zxi AMT,Jaipur,2018,"11,190",Petrol,2nd,"4,02,299"
61,Hyundai Eon MAGNA PLUS,Jaipur,2015,"36,113",Petrol,1st,"2,54,199"
62,Maruti Alto LXI,Jaipur,2012,"49,938",Petrol,1st,"1,78,999"
63,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Jaipur,2017,"16,276",Petrol,1st,"4,21,699"
64,Maruti Wagon R 1.0 VXI,Jaipur,2018,"12,370",Petrol,1st,"4,39,599"
65,Hyundai Grand i10 SPORTS 1.2 VTVT,Jaipur,2015,"39,752",Petrol,1st,"4,03,299"
66,Maruti Vitara Brezza LDI,Jaipur,2019,"4,642",Diesel,1st,"8,59,099"
67,Maruti Alto 800 LXI,Jaipur,2017,"38,009",Petrol,1st,"2,63,999"
68,Maruti Baleno DELTA 1.2 K12,Jaipur,2016,"45,880",Petrol,1st,"4,69,799"
69,Renault Kwid RXL,Jaipur,2019,"1,981",Petrol,1st,"3,70,399"
70,Maruti Celerio X Zxi,Jaipur,2018,"54,206",Petrol,1st,"4,54,599"
71,Ford Ecosport 1.5 AMBIENTE TDCI,Jaipur,2017,"44,307",Diesel,1st,"5,79,399"
72,Maruti Baleno SIGMA 1.2 K12,Jaipur,2016,"57,810",Petrol,1st,"4,49,399"
73,Maruti Alto K10 VXI,Jaipur,2018,"42,250",Petrol,1st,"3,17,199"
74,Hyundai Elite i20 SPORTZ 1.2,Jaipur,2015,"74,485",Petrol,2nd,"4,40,599"
75,Hyundai Elite i20 ASTA 1.2 (O),Jaipur,2016,"94,813",Petrol,1st,"5,66,999"
76,Hyundai Creta 1.6 SX (O) CRDI,Jaipur,2016,"32,452",Diesel,2nd,"10,88,099"
77,Maruti Swift VXI,Jaipur,2017,"30,110",Petrol,1st,"5,01,199"
78,Hyundai Verna FLUIDIC 1.6 SX CRDI,Jaipur,2014,"76,743",Diesel,2nd,"4,57,499"
